"Season","Team","Conference","StatName","StatValue"
"2025","Air Force","Mountain West","firstDowns","264"
"2025","Air Force","Mountain West","firstDownsOpponent","247"
"2025","Air Force","Mountain West","fourthDownConversions","24"
"2025","Air Force","Mountain West","fourthDownConversionsOpponent","10"
"2025","Air Force","Mountain West","fourthDowns","34"
"2025","Air Force","Mountain West","fourthDownsOpponent","16"
"2025","Air Force","Mountain West","fumblesLost","5"
"2025","Air Force","Mountain West","fumblesLostOpponent","3"
"2025","Air Force","Mountain West","fumblesRecovered","3"
"2025","Air Force","Mountain West","fumblesRecoveredOpponent","5"
"2025","Air Force","Mountain West","games","12"
"2025","Air Force","Mountain West","interceptions","7"
"2025","Air Force","Mountain West","interceptionsOpponent","7"
"2025","Air Force","Mountain West","interceptionTDs","0"
"2025","Air Force","Mountain West","interceptionTDsOpponent","0"
"2025","Air Force","Mountain West","interceptionYards","67"
"2025","Air Force","Mountain West","interceptionYardsOpponent","55"
"2025","Air Force","Mountain West","kickReturns","9"
"2025","Air Force","Mountain West","kickReturnsOpponent","22"
"2025","Air Force","Mountain West","kickReturnTDs","0"
"2025","Air Force","Mountain West","kickReturnTDsOpponent","0"
"2025","Air Force","Mountain West","kickReturnYards","190"
"2025","Air Force","Mountain West","kickReturnYardsOpponent","352"
"2025","Air Force","Mountain West","netPassingYards","1742"
"2025","Air Force","Mountain West","netPassingYardsOpponent","3176"
"2025","Air Force","Mountain West","passAttempts","164"
"2025","Air Force","Mountain West","passAttemptsOpponent","336"
"2025","Air Force","Mountain West","passCompletions","97"
"2025","Air Force","Mountain West","passCompletionsOpponent","234"
"2025","Air Force","Mountain West","passesIntercepted","7"
"2025","Air Force","Mountain West","passesInterceptedOpponent","7"
"2025","Air Force","Mountain West","passingTDs","13"
"2025","Air Force","Mountain West","passingTDsOpponent","17"
"2025","Air Force","Mountain West","penalties","43"
"2025","Air Force","Mountain West","penaltiesOpponent","65"
"2025","Air Force","Mountain West","penaltyYards","375"
"2025","Air Force","Mountain West","penaltyYardsOpponent","536"
"2025","Air Force","Mountain West","possessionTime","24388"
"2025","Air Force","Mountain West","possessionTimeOpponent","18812"
"2025","Air Force","Mountain West","puntReturns","3"
"2025","Air Force","Mountain West","puntReturnsOpponent","8"
"2025","Air Force","Mountain West","puntReturnTDs","0"
"2025","Air Force","Mountain West","puntReturnTDsOpponent","0"
"2025","Air Force","Mountain West","puntReturnYards","8"
"2025","Air Force","Mountain West","puntReturnYardsOpponent","51"
"2025","Air Force","Mountain West","rushingAttempts","653"
"2025","Air Force","Mountain West","rushingAttemptsOpponent","361"
"2025","Air Force","Mountain West","rushingTDs","33"
"2025","Air Force","Mountain West","rushingTDsOpponent","27"
"2025","Air Force","Mountain West","rushingYards","3138"
"2025","Air Force","Mountain West","rushingYardsOpponent","1915"
"2025","Air Force","Mountain West","sacks","15"
"2025","Air Force","Mountain West","sacksOpponent","16"
"2025","Air Force","Mountain West","tacklesForLoss","40"
"2025","Air Force","Mountain West","tacklesForLossOpponent","46"
"2025","Air Force","Mountain West","thirdDownConversions","78"
"2025","Air Force","Mountain West","thirdDownConversionsOpponent","69"
"2025","Air Force","Mountain West","thirdDowns","153"
"2025","Air Force","Mountain West","thirdDownsOpponent","137"
"2025","Air Force","Mountain West","totalYards","4880"
"2025","Air Force","Mountain West","totalYardsOpponent","5091"
"2025","Air Force","Mountain West","turnovers","12"
"2025","Air Force","Mountain West","turnoversOpponent","10"
"2025","Akron","Mid-American","firstDowns","241"
"2025","Akron","Mid-American","firstDownsOpponent","234"
"2025","Akron","Mid-American","fourthDownConversions","12"
"2025","Akron","Mid-American","fourthDownConversionsOpponent","7"
"2025","Akron","Mid-American","fourthDowns","25"
"2025","Akron","Mid-American","fourthDownsOpponent","19"
"2025","Akron","Mid-American","fumblesLost","8"
"2025","Akron","Mid-American","fumblesLostOpponent","8"
"2025","Akron","Mid-American","fumblesRecovered","8"
